"","day","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","distance","zip","elev","dew","precip","hum","snow","temp","windspeed","visibility","windchill","heatindex","fog","rain","hail","thunder","tornado","speed"
"19047","Monday",321,2014-03-31 10:48:04,2014-03-31 10:53:25,498,"Broadway & W 32 St",40.74854862,-73.98808416,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,17781,"Subscriber","1981",1,"0.83","10001-2062","0","30.9","-9999","76","0","37.9","8.1","10","32.1","-9999","0","0","0","0","0",9.30841121495327
"19048","Friday",295,2014-03-07 11:55:10,2014-03-07 12:00:05,503,"E 20 St & Park Ave",40.73827428,-73.98751968,335,"Washington Pl & Broadway",40.72903917,-73.99404649,16087,"Subscriber","1982",1,"0.945","10003","1","21.9","-9999","66","0","32","11.5","10","23","-9999","0","0","0","0","0",11.5322033898305
"19050","Thursday",427,2014-03-27 09:05:03,2014-03-27 09:12:10,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,444,"Broadway & W 24 St",40.7423543,-73.98915076,21017,"Subscriber","1973",1,"1.157","10017","32804","6.1","-9999","45","0","25","8.1","10","16.3","-9999","0","0","0","0","0",9.75456674473068
"19053","Monday",299,2014-03-31 09:26:41,2014-03-31 09:31:40,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,474,"5 Ave & E 29 St",40.7451677,-73.98683077,16120,"Subscriber","1959",1,"0.804","10017","32803","32","-9999","82","0","37","4.6","10","33.3","-9999","0","0","0","0","0",9.68026755852843
"19054","Thursday",187,2014-03-20 10:23:51,2014-03-20 10:26:58,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,16388,"Subscriber","1987",1,"0.52","10017","0","37.9","-9999","73","0","46","3.5","9","44.8","-9999","0","0","0","0","0",10.0106951871658
"19056","Wednesday",342,2014-03-12 09:09:37,2014-03-12 09:15:19,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,15761,"Subscriber","1978",1,"1.019","10017","32801","35.1","-9999","63","0","46.9","4.6","7","-999","-9999","0","0","0","0","0",10.7263157894737
"19058","Wednesday",288,2014-03-19 09:46:28,2014-03-19 09:51:16,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,21271,"Subscriber","1983",1,"0.808","10018","-32801","27","-9999","75","0","34","9.2","10","26.6","-9999","0","0","0","0","0",10.1
"19059","Tuesday",258,2014-03-11 09:11:55,2014-03-11 09:16:13,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,485,"W 37 St & 5 Ave",40.75038009,-73.98338988,14887,"Subscriber","1975",1,"0.583","10018","27","32","-9999","50","0","50","4.6","10","-999","-9999","0","0","0","0","0",8.13488372093023
"19060","Tuesday",276,2014-03-25 16:10:11,2014-03-25 16:14:47,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,14879,"Subscriber","1991",1,"0.718","10016","32801","12","-9999","36","0","37","6.9","10","31.6","-9999","0","0","0","0","0",9.36521739130435
"19061","Friday",257,2014-03-21 16:59:52,2014-03-21 17:04:09,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,17474,"Subscriber","1962",1,"0.927","10016","-32810","17.1","-9999","26","0","51.1","4.6","10","-999","-9999","0","0","0","0","0",12.9852140077821
"19062","Tuesday",342,2014-03-11 16:32:27,2014-03-11 16:38:09,150,"E 2 St & Avenue C",40.7208736,-73.98085795,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,18936,"Subscriber","1961",1,"1.129","10009","43","30.9","-9999","28","0","64.9","3.5","10","-999","-9999","0","0","0","0","0",11.8842105263158
"19063","Friday",176,2014-03-14 13:36:58,2014-03-14 13:39:54,151,"Cleveland Pl & Spring St",40.7218158,-73.99720307,128,"MacDougal St & Prince St",40.72710258,-74.00297088,16664,"Subscriber","1993",1,"0.816","10012","-4","10","-9999","34","0","36","5.8","10","31.1","-9999","0","0","0","0","0",16.6909090909091
"19064","Wednesday",289,2014-03-12 09:46:33,2014-03-12 09:51:22,173,"Broadway & W 49 St",40.76064679,-73.98442659,359,"E 47 St & Park Ave",40.75510267,-73.97498696,19710,"Subscriber","1976",1,"0.793","10019","0","35.1","-9999","63","0","46.9","4.6","7","-999","-9999","0","0","0","0","0",9.87820069204152
"19065","Wednesday",322,2014-03-26 16:29:39,2014-03-26 16:35:01,173,"Broadway & W 49 St",40.76064679,-73.98442659,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,21210,"Subscriber","1975",1,"1","10019","0","3","-9999","27","0","34","12.7","10","25","-9999","0","0","0","0","0",11.1801242236025
"19066","Thursday",171,2014-03-20 09:07:33,2014-03-20 09:10:24,257,"Lispenard St & Broadway",40.71939226,-74.00247214,330,"Reade St & Broadway",40.71450451,-74.00562789,20769,"Subscriber","1982",1,"0.393","10013","56","39","-9999","82","0","44.1","5.8","7","40.8","-9999","0","0","0","0","0",8.27368421052632
"19067","Wednesday",258,2014-03-19 09:11:01,2014-03-19 09:15:19,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,457,"Broadway & W 58 St",40.76695317,-73.98169333,19731,"Subscriber","1971",1,"0.593","10153","0","27","-9999","75","0","34","9.2","10","26.6","-9999","0","0","0","0","0",8.27441860465116
"19068","Wednesday",198,2014-03-26 16:33:53,2014-03-26 16:37:11,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,499,"Broadway & W 60 St",40.76915505,-73.98191841,17911,"Subscriber","1984",1,"0.759","10153","32798","3","-9999","27","0","34","12.7","10","25","-9999","0","0","0","0","0",13.8
"19069","Friday",238,2014-03-14 13:56:00,2014-03-14 13:59:58,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,17105,"Subscriber","1976",1,"0.605","10011","7","10","-9999","34","0","36","5.8","10","31.1","-9999","0","0","0","0","0",9.15126050420168
"19070","Monday",311,2014-03-31 09:37:25,2014-03-31 09:42:36,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,442,"W 27 St & 7 Ave",40.746647,-73.993915,16359,"Subscriber","1965",1,"0.951","10011","8","32","-9999","82","0","37","4.6","10","33.3","-9999","0","0","0","0","0",11.0083601286174
"19071","Thursday",201,2014-03-06 16:39:53,2014-03-06 16:43:14,294,"Washington Square E",40.73049393,-73.9957214,345,"W 13 St & 6 Ave",40.73649403,-73.99704374,15004,"Subscriber","1977",1,"0.617","10003","-7","3.9","-9999","35","0","28.9","5.8","10","22.8","-9999","0","0","0","0","0",11.0507462686567
"19072","Tuesday",228,2014-03-11 16:21:57,2014-03-11 16:25:45,300,"Shevchenko Pl & E 6 St",40.728145,-73.990214,393,"E 5 St & Avenue C",40.72299208,-73.97995466,15277,"Subscriber","1983",1,"0.721","10003","-12","30.9","-9999","28","0","64.9","3.5","10","-999","-9999","0","0","0","0","0",11.3842105263158
"19073","Wednesday",279,2014-03-05 14:42:06,2014-03-05 14:46:45,345,"W 13 St & 6 Ave",40.73649403,-73.99704374,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,18152,"Subscriber","1976",1,"0.91","10011","34","6.1","-9999","28","0","37","6.9","10","31.6","-9999","0","0","0","0","0",11.741935483871
"19074","Wednesday",670,2014-03-26 16:44:18,2014-03-26 16:55:28,347,"W Houston St & Hudson St",40.72873888,-74.00748842,521,"8 Ave & W 31 St",40.75044999,-73.99481051,21535,"Subscriber","1972",1,"1.674","10014","-30","3","-9999","27","0","34","12.7","10","25","-9999","0","0","0","0","0",8.99462686567164
"19075","Monday",193,2014-03-10 16:46:29,2014-03-10 16:49:42,363,"West Thames St",40.70834698,-74.01713445,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,18186,"Subscriber","1971",1,"0.777","10280","32776","26.1","-9999","39","0","50","5.8","10","-999","-9999","0","0","0","0","0",14.4932642487047
"19076","Wednesday",365,2014-03-12 10:45:47,2014-03-12 10:51:52,433,"E 13 St & Avenue A",40.72955361,-73.98057249,335,"Washington Pl & Broadway",40.72903917,-73.99404649,20024,"Subscriber","1992",1,"0.944","10009","29","37","-9999","64","0","48.9","5.8","7","-999","-9999","0","0","0","0","0",9.31068493150685
"19077","Wednesday",308,2014-03-12 16:57:53,2014-03-12 17:03:01,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,521,"8 Ave & W 31 St",40.75044999,-73.99481051,17981,"Subscriber","1982",1,"0.823","10011","-9","42.1","-9999","60","0","55.9","3.5","7","-999","-9999","0","0","0","0","0",9.61948051948052
"19079","Monday",174,2014-03-31 13:02:15,2014-03-31 13:05:09,444,"Broadway & W 24 St",40.7423543,-73.98915076,496,"E 16 St & 5 Ave",40.73726186,-73.99238967,14699,"Subscriber","1970",1,"0.658","10010","5","30.9","-9999","54","0","46.9","12.7","10","-999","-9999","0","0","0","0","0",13.6137931034483
"19080","Thursday",319,2014-03-20 15:47:23,2014-03-20 15:52:42,444,"Broadway & W 24 St",40.7423543,-73.98915076,521,"8 Ave & W 31 St",40.75044999,-73.99481051,21300,"Subscriber","1954",1,"1.008","10010","-24","24.1","-9999","35","0","51.1","13.8","10","-999","-9999","0","0","0","0","0",11.3755485893417
"19081","Wednesday",129,2014-03-12 10:07:23,2014-03-12 10:09:32,480,"W 53 St & 10 Ave",40.76669671,-73.99061728,447,"8 Ave & W 52 St",40.76370739,-73.9851615,21479,"Subscriber","1984",1,"0.728","10019","8","37","-9999","64","0","48.9","5.8","7","-999","-9999","0","0","0","0","0",20.3162790697674
"19082","Tuesday",290,2014-03-11 14:19:06,2014-03-11 14:23:56,485,"W 37 St & 5 Ave",40.75038009,-73.98338988,402,"Broadway & E 22 St",40.7403432,-73.98955109,17397,"Subscriber","1970",1,"1.081","10018","-36","32","-9999","30","0","64","9.2","10","-999","-9999","0","0","0","0","0",13.4193103448276
"19083","Monday",180,2014-03-31 16:07:11,2014-03-31 16:10:11,489,"10 Ave & W 28 St",40.75066386,-74.00176802,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,15969,"Subscriber","1962",1,"0.42","10001","2","33.1","-9999","45","0","54","5.8","10","-999","-9999","0","0","0","0","0",8.4
"19085","Monday",254,2014-03-10 16:18:56,2014-03-10 16:23:10,500,"Broadway & W 51 St",40.76228826,-73.98336183,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,18553,"Subscriber","1981",1,"0.752","10019","32791","26.1","-9999","39","0","50","5.8","10","-999","-9999","0","0","0","0","0",10.6582677165354
"19086","Wednesday",463,2014-03-05 09:47:39,2014-03-05 09:55:22,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,285,"Broadway & E 14 St",40.73454567,-73.99074142,16245,"Subscriber","1956",1,"1.45","10017","32804","8.1","-9999","38","0","30.9","4.6","10","26.2","-9999","0","0","0","0","0",11.2742980561555
"19087","Tuesday",184,2014-03-18 10:14:11,2014-03-18 10:17:15,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,485,"W 37 St & 5 Ave",40.75038009,-73.98338988,17796,"Subscriber","1979",1,"0.414","10017","32828","14","-9999","48","0","32","13.8","10","22.1","-9999","0","0","0","0","0",8.1
"19088","Friday",475,2014-03-07 09:45:14,2014-03-07 09:53:09,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,444,"Broadway & W 24 St",40.7423543,-73.98915076,15168,"Subscriber","1969",1,"0.979","10018","3","21","-9999","69","0","30","12.7","10","20","-9999","0","0","0","0","0",7.41978947368421
"19093","Monday",565,2014-03-31 14:30:01,2014-03-31 14:39:26,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,21518,"Subscriber","1973",1,"1.59","10018","-32777","33.1","-9999","50","0","51.1","9.2","10","-999","-9999","0","0","0","0","0",10.1309734513274
"19094","Wednesday",85,2014-03-19 13:39:40,2014-03-19 13:41:05,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,498,"Broadway & W 32 St",40.74854862,-73.98808416,16425,"Subscriber","1981",1,"0.428","10016","0","28.9","-9999","65","0","39.9","3.5","10","37.8","-9999","0","0","0","0","0",18.1270588235294
"19095","Friday",291,2014-03-28 10:16:58,2014-03-28 10:21:49,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,489,"10 Ave & W 28 St",40.75066386,-74.00176802,16388,"Subscriber","1983",1,"1.385","10011","-2","37.9","-9999","61","0","51.1","-9999","10","-999","-9999","0","0","0","0","0",17.1340206185567
"19096","Tuesday",185,2014-03-25 10:14:42,2014-03-25 10:17:47,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,18979,"Subscriber","1985",1,"1.457","10011","0","10","-9999","38","0","33.1","0","10","-999","-9999","0","0","0","0","0",28.3524324324324
"19097","Thursday",247,2014-03-13 15:20:38,2014-03-13 15:24:45,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,17134,"Subscriber","1975",1,"0.569","10017","-32828","-0.9","-9999","30","0","27","12.7","10","16.1","-9999","0","0","0","0","0",8.29311740890688
"19098","Tuesday",211,2014-03-25 15:15:15,2014-03-25 15:18:46,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,21209,"Subscriber","1966",1,"0.86","10011","-15","10.9","-9999","33","0","37.9","6.9","10","32.7","-9999","0","0","0","0","0",14.6729857819905
"19099","Monday",200,2014-03-31 10:32:26,2014-03-31 10:35:46,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,280,"E 10 St & 5 Ave",40.73331967,-73.99510132,21232,"Subscriber","1970",1,"0.824","10011","5","30.9","-9999","76","0","37.9","8.1","10","32.1","-9999","0","0","0","0","0",14.832
"19100","Thursday",358,2014-03-06 16:48:19,2014-03-06 16:54:17,173,"Broadway & W 49 St",40.76064679,-73.98442659,490,"8 Ave & W 33 St",40.751551,-73.993934,20289,"Subscriber","1981",1,"1.182","10019","32798","3.9","-9999","35","0","28.9","5.8","10","22.8","-9999","0","0","0","0","0",11.8860335195531
"19101","Wednesday",188,2014-03-12 11:01:46,2014-03-12 11:04:54,229,"Great Jones St",40.72743423,-73.99379025,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,14600,"Subscriber","1982",1,"0.829","10012","-13","39","-9999","61","0","52","6.9","7","-999","-9999","0","0","0","0","0",15.8744680851064
"19102","Friday",291,2014-03-14 11:43:33,2014-03-14 11:48:24,242,"Flushing Ave & Carlton Ave",40.69788349,-73.97350332,430,"York St & Jay St",40.7014851,-73.98656928,14637,"Subscriber","1989",1,"0.901","11205","9","7","-9999","35","0","32","5.8","10","26.4","-9999","0","0","0","0","0",11.1463917525773
"19103","Thursday",197,2014-03-06 09:48:09,2014-03-06 09:51:26,251,"Mott St & Prince St",40.72317958,-73.99480012,128,"MacDougal St & Prince St",40.72710258,-74.00297088,18834,"Subscriber","1984",1,"0.702","10012","-3","-0.9","-9999","44","0","18","11.5","10","5.4","-9999","0","0","0","0","0",12.8284263959391
"19104","Wednesday",283,2014-03-12 13:47:06,2014-03-12 13:51:49,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,15985,"Subscriber","1967",1,"1.243","10011","-8","42.1","-9999","66","0","53.1","0","8","-999","-9999","0","0","0","0","0",15.8120141342756
"19105","Friday",179,2014-03-07 13:39:30,2014-03-07 13:42:29,316,"Fulton St & William St",40.70955958,-74.00653609,351,"Front St & Maiden Ln",40.70530954,-74.00612572,19199,"Subscriber","1974",1,"0.475","10038","48","21.9","-9999","66","0","32","5.8","10","26.4","-9999","0","0","0","0","0",9.55307262569832
"19106","Wednesday",204,2014-03-19 13:56:01,2014-03-19 13:59:25,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,20831,"Subscriber","1989",1,"0.624","10003","41","28.9","-9999","65","0","39.9","3.5","10","37.8","-9999","0","0","0","0","0",11.0117647058824
"19107","Friday",256,2014-03-21 09:30:26,2014-03-21 09:34:42,330,"Reade St & Broadway",40.71450451,-74.00562789,2004,"6 Ave & Broome St",40.724399,-74.004704,15174,"Subscriber","1962",1,"1.116","10007","-60","19","-9999","43","0","39.9","6.9","10","35.1","-9999","0","0","0","0","0",15.69375
"19108","Friday",124,2014-03-21 16:35:24,2014-03-21 16:37:28,335,"Washington Pl & Broadway",40.72903917,-73.99404649,375,"Mercer St & Bleecker St",40.72679454,-73.99695094,15265,"Subscriber","1981",1,"0.256","10003","-23","17.1","-9999","26","0","51.1","4.6","10","-999","-9999","0","0","0","0","0",7.43225806451613
"19109","Friday",125,2014-03-07 09:06:06,2014-03-07 09:08:11,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,347,"W Houston St & Hudson St",40.72873888,-74.00748842,16363,"Subscriber","1975",1,"0.501","10014","33","21","-9999","69","0","30","12.7","10","20","-9999","0","0","0","0","0",14.4288
"19110","Thursday",247,2014-03-20 11:55:47,2014-03-20 11:59:54,402,"Broadway & E 22 St",40.7403432,-73.98955109,379,"W 31 St & 7 Ave",40.749156,-73.9916,17555,"Subscriber","1964",1,"0.932","10010","7","36","-9999","61","0","48.9","6.9","10","-999","-9999","0","0","0","0","0",13.5838056680162
"19112","Friday",105,2014-03-14 10:07:04,2014-03-14 10:08:49,402,"Broadway & E 22 St",40.7403432,-73.98955109,497,"E 17 St & Broadway",40.73704984,-73.99009296,19320,"Subscriber","1986",1,"0.226","10010","3","6.1","-9999","36","0","30","4.6","10","25.2","-9999","0","0","0","0","0",7.74857142857143
"19114","Friday",152,2014-03-28 16:20:38,2014-03-28 16:23:10,444,"Broadway & W 24 St",40.7423543,-73.98915076,446,"W 24 St & 7 Ave",40.74487634,-73.99529885,16567,"Subscriber","1988",1,"0.815","10010","-6","46.9","-9999","64","0","59","6.9","10","-999","-9999","0","0","0","0","0",19.3026315789474
"19115","Tuesday",481,2014-03-11 16:31:48,2014-03-11 16:39:49,444,"Broadway & W 24 St",40.7423543,-73.98915076,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20095,"Subscriber","1969",1,"1.494","10010","-13","30.9","-9999","28","0","64.9","3.5","10","-999","-9999","0","0","0","0","0",11.1817047817048
"19117","Wednesday",102,2014-03-05 15:47:19,2014-03-05 15:49:01,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,479,"9 Ave & W 45 St",40.76019252,-73.9912551,16743,"Subscriber","1983",1,"0.298","10019","-21","9","-9999","33","0","36","8.1","10","29.6","-9999","0","0","0","0","0",10.5176470588235
"19118","Monday",473,2014-03-31 16:45:08,2014-03-31 16:53:01,456,"E 53 St & Madison Ave",40.7597108,-73.97402311,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,18926,"Subscriber","1979",1,"1.715","10022","0","33.1","-9999","45","0","54","5.8","10","-999","-9999","0","0","0","0","0",13.0528541226216
"19119","Monday",478,2014-03-24 15:27:06,2014-03-24 15:35:04,457,"Broadway & W 58 St",40.76695317,-73.98169333,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18723,"Subscriber","1965",1,"1.316","10019","0","1","-9999","26","0","33.1","11.5","10","24.4","-9999","0","0","0","0","0",9.91129707112971
"19120","Wednesday",214,2014-03-26 14:56:09,2014-03-26 14:59:43,474,"5 Ave & E 29 St",40.7451677,-73.98683077,497,"E 17 St & Broadway",40.73704984,-73.99009296,21488,"Subscriber","1987",1,"0.598","10016","-8","3.9","-9999","28","0","34","16.1","10","23.8","-9999","0","0","0","0","0",10.0598130841121
"19122","Monday",455,2014-03-10 09:32:49,2014-03-10 09:40:24,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,440,"E 45 St & 3 Ave",40.75255434,-73.97282625,16060,"Subscriber","1986",1,"1.56","10036","-32791","27","0","67","0","37","6.9","8","31.6","-9999","0","0","0","0","0",12.3428571428571
"19123","Monday",342,2014-03-03 16:02:50,2014-03-03 16:08:32,478,"11 Ave & W 41 St",40.76030096,-73.99884222,490,"8 Ave & W 33 St",40.751551,-73.993934,18577,"Subscriber","1964",1,"1.212","10036","21","0","-9999","38","0","21.9","4.6","10","15.7","-9999","0","0","0","0","0",12.7578947368421
"19124","Wednesday",342,2014-03-05 16:11:43,2014-03-05 16:17:25,478,"11 Ave & W 41 St",40.76030096,-73.99884222,490,"8 Ave & W 33 St",40.751551,-73.993934,17772,"Subscriber","1964",1,"1.212","10036","21","9","-9999","34","0","35.1","4.6","10","31","-9999","0","0","0","0","0",12.7578947368421
"19125","Thursday",155,2014-03-06 12:06:25,2014-03-06 12:09:00,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,479,"9 Ave & W 45 St",40.76019252,-73.9912551,18803,"Subscriber","1986",1,"0.52","10019","32782","1.9","-9999","34","0","27","-9999","10","-999","-9999","0","0","0","0","0",12.0774193548387
"19126","Friday",303,2014-03-14 16:33:45,2014-03-14 16:38:48,497,"E 17 St & Broadway",40.73704984,-73.99009296,472,"E 32 St & Park Ave",40.7457121,-73.98194829,19532,"Subscriber","1989",1,"0.838","10003","-10","10","-9999","25","0","44.1","9.2","10","39","-9999","0","0","0","0","0",9.95643564356436
"19127","Thursday",330,2014-03-20 17:00:50,2014-03-20 17:06:20,500,"Broadway & W 51 St",40.76228826,-73.98336183,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,16018,"Subscriber","1969",1,"0.856","10019","32795","24.1","-9999","34","0","52","13.8","10","-999","-9999","0","0","0","0","0",9.33818181818182
"19128","Friday",194,2014-03-07 12:50:45,2014-03-07 12:53:59,503,"E 20 St & Park Ave",40.73827428,-73.98751968,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,20710,"Subscriber","1992",1,"0.691","10003","1","21.9","-9999","66","0","32","11.5","10","23","-9999","0","0","0","0","0",12.8226804123711
"19129","Tuesday",385,2014-03-25 13:39:52,2014-03-25 13:46:17,513,"W 56 St & 10 Ave",40.768254,-73.988639,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,21172,"Subscriber","1965",1,"0.942","10019","5","7","-9999","28","0","37.9","11.5","10","30.5","-9999","0","0","0","0","0",8.80831168831169
"19130","Monday",289,2014-03-10 16:13:52,2014-03-10 16:18:41,520,"W 52 St & 5 Ave",40.75992262,-73.97648516,318,"E 43 St & Vanderbilt Ave",40.75320159,-73.9779874,18923,"Subscriber","1973",1,"0.663","10019","0","26.1","-9999","39","0","50","5.8","10","-999","-9999","0","0","0","0","0",8.25882352941177
"19133","Monday",371,2014-03-03 16:59:00,2014-03-03 17:05:11,520,"W 52 St & 5 Ave",40.75992262,-73.97648516,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,15492,"Subscriber","1980",1,"1.206","10019","32791","0","-9999","38","0","21.9","4.6","10","15.7","-9999","0","0","0","0","0",11.7024258760108
"19134","Monday",162,2014-03-10 16:02:01,2014-03-10 16:04:43,528,"2 Ave & E 31 St",40.74290902,-73.97706058,472,"E 32 St & Park Ave",40.7457121,-73.98194829,15324,"Subscriber","1965",1,"0.414","10016","4","26.1","-9999","39","0","50","5.8","10","-999","-9999","0","0","0","0","0",9.2
"19135","Tuesday",162,2014-03-18 09:42:57,2014-03-18 09:45:39,528,"2 Ave & E 31 St",40.74290902,-73.97706058,472,"E 32 St & Park Ave",40.7457121,-73.98194829,16580,"Subscriber","1984",1,"0.414","10016","4","14","-9999","51","0","30","6.9","10","23.2","-9999","0","0","0","0","0",9.2
"19136","Tuesday",447,2014-03-04 09:05:08,2014-03-04 09:12:35,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,352,"W 56 St & 6 Ave",40.76340613,-73.97722479,20559,"Subscriber","1966",1,"1.147","10036","-32795","1.9","-9999","52","0","17.1","4.6","10","10","-9999","0","0","0","0","0",9.23758389261745
"19137","Monday",370,2014-03-10 16:33:12,2014-03-10 16:39:22,536,"1 Ave & E 30 St",40.74144387,-73.97536082,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,20369,"Subscriber","1988",1,"1.101","10016","-32782","26.1","-9999","39","0","50","5.8","10","-999","-9999","0","0","0","0","0",10.7124324324324
"19138","Friday",185,2014-03-21 12:17:27,2014-03-21 12:20:32,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,446,"W 24 St & 7 Ave",40.74487634,-73.99529885,16396,"Subscriber","1980",1,"0.905","10011","22","18","-9999","33","0","46","11.5","10","40.6","-9999","0","0","0","0","0",17.6108108108108
"19140","Friday",226,2014-03-28 09:12:35,2014-03-28 09:16:21,147,"Greenwich St & Warren St",40.71542197,-74.01121978,3002,"South End Ave & Liberty St",40.711512,-74.015756,21108,"Subscriber","1963",1,"0.671","10007","-32785","36","-9999","59","0","50","-9999","10","-999","-9999","0","0","0","0","0",10.6884955752212
"19141","Wednesday",105,2014-03-05 09:06:41,2014-03-05 09:08:26,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,17022,"Subscriber","1973",1,"0.252","10017","-32828","8.1","-9999","38","0","30.9","4.6","10","26.2","-9999","0","0","0","0","0",8.64
"19142","Monday",300,2014-03-17 16:13:26,2014-03-17 16:18:26,167,"E 39 St & 3 Ave",40.7489006,-73.97604882,379,"W 31 St & 7 Ave",40.749156,-73.9916,16780,"Subscriber","1977",1,"1.309","10016","32799","3","-9999","28","0","33.1","9.2","10","25.5","-9999","0","0","0","0","0",15.708
"19143","Monday",222,2014-03-24 12:34:53,2014-03-24 12:38:35,173,"Broadway & W 49 St",40.76064679,-73.98442659,352,"W 56 St & 6 Ave",40.76340613,-73.97722479,16154,"Subscriber","1986",1,"0.674","10019","0","1.9","-9999","32","0","28.9","4.6","10","23.9","-9999","0","0","0","0","0",10.9297297297297
"19144","Thursday",192,2014-03-20 09:22:40,2014-03-20 09:25:52,173,"Broadway & W 49 St",40.76064679,-73.98442659,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,19438,"Subscriber","1982",1,"0.579","10019","32787","39","-9999","82","0","44.1","5.8","7","40.8","-9999","0","0","0","0","0",10.85625
"19145","Tuesday",192,2014-03-11 12:58:20,2014-03-11 13:01:32,257,"Lispenard St & Broadway",40.71939226,-74.00247214,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,15011,"Subscriber","1981",1,"0.721","10013","-7","34","-9999","41","0","57.9","6.9","10","-999","-9999","0","0","0","0","0",13.51875
"19146","Friday",568,2014-03-28 16:33:07,2014-03-28 16:42:35,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,519,"E 42 St & Vanderbilt Ave",40.752416,-73.97837,21199,"Subscriber","1979",1,"1.744","10003","-32819","46.9","-9999","64","0","59","6.9","10","-999","-9999","0","0","0","0","0",11.0535211267606
"19147","Thursday",228,2014-03-27 11:23:22,2014-03-27 11:27:10,307,"Canal St & Rutgers St",40.71427487,-73.98990025,401,"Allen St & Rivington St",40.72019576,-73.98997825,17225,"Subscriber","1985",1,"0.579","10002","5","5","-9999","35","0","30","4.6","10","25.2","-9999","0","0","0","0","0",9.14210526315789
"19148","Friday",221,2014-03-14 15:10:21,2014-03-14 15:14:02,309,"Murray St & West St",40.7149787,-74.013012,387,"Centre St & Chambers St",40.71273266,-74.0046073,19694,"Subscriber","1967",1,"0.746","10007","32793","10","-9999","27","0","42.1","8.1","10","37.1","-9999","0","0","0","0","0",12.152036199095
